TF	P_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	P_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	E_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k
KAISO_HUMAN	4.81	78	538	11.75	35	1161	20	1176	6.02	18	85	1.6	7	199	4	202	1.42	236	6441	1.53	321	12401	310	12407	2.42	44	328	1.26	29	715	39	704	1.66	193	345	2.23	250	740	247	743	2.03	55	111	0.34	55	277	65	266
KLF15_HUMAN	4.28	13	603	0.02	6	1190	6	1190	6.31	6	97	0	1	205	2	204	0.96	41	6636	0	81	12641	95	12622	1.51	9	363	0	9	735	12	731	1.22	49	489	0	69	921	75	915	1.18	10	156	0	13	319	17	314
KLF1_HUMAN	3.95	14	602	0.07	7	1189	5	1191	1.34	2	101	0	0	206	3	203	1.11	54	6623	0	85	12637	93	12624	2.03	11	361	0	9	735	11	732	1.51	57	481	0	67	923	72	918	1.18	14	152	0	24	308	21	310
KLF3_HUMAN	1.96	13	603	0	9	1187	13	1183	5.24	14	89	0.52	3	203	6	200		62	6615	0	101	12621	122	12595	3.81	42	330	4.01	17	727	24	719	1.29	69	469	0	88	902	101	889	3.06	54	112	3.29	40	292	45	286
KLF4_HUMAN	2.36	33	583	0.3	28	1168	17	1179	1.61	13	90	0	17	189	7	199	1.41	225	6452	1.19	308	12414	293	12424	3.39	90	282	8.62	56	688	64	679	1.59	178	360	1.39	235	755	229	761	2.91	85	81	4.46	88	244	84	247
KLF5_HUMAN	3.73	116	500	13.53	70	1126	67	1129	8.2	61	42	11.8	31	175	22	184	1.1	389	6288	0	677	12045	665	12052	4.95	175	197	25.79	102	642	113	630	1.68	311	227	3.17	427	563	445	545	5.27	134	32	11.95	147	185	143	188
KLF6_HUMAN	3.52	16	600	0.06	9	1187	3	1193	2.04	4	99	0	4	202	1	205	0.87	43	6634	0	94	12628	112	12605	1.2	9	363	0	15	729	10	733	1.22	52	486	0	79	911	80	910	1.22	15	151	0	25	307	16	315
KLF9_HUMAN	4.1	108	508	13.93	38	1158	59	1137	2.02	15	88	0	16	190	11	195	1.24	310	6367	0	479	12243	475	12242	1.4	44	328	0	65	679	60	683	1.71	259	279	3.51	348	642	336	654	1.32	63	103	0	105	227	97	234
LEF1_HUMAN		1	615	0	3	1193	1	1195	1.0	1	102	0	2	204	1	205	1.27	44	6633	0	57	12665	66	12651	1.68	10	362	0	9	735	12	731	1.07	29	509	0	39	951	50	940	2.09	14	152	0	10	322	14	317
LHX2_HUMAN	2.44	5	611	0	2	1194	4	1192	4.06	2	101	0	1	205	1	205	1.65	51	6626	0	59	12663	53	12664	3.03	19	353	0	13	731	10	733	1.91	41	497	0	41	949	36	954	2.03	21	145	0	20	312	22	309
LHX3_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	1.91	1	6676	0	1	12721	0	12717		0	372	0	0	744	0	743		0	538	0	1	989	0	990		0	166	0	0	332	0	331
LHX4_HUMAN		0	616	0	0	1196	1	1195		0	103	0	1	205	0	206		0	6677	0	0	12722	1	12716	2.0	1	371	0	1	743	1	742		0	538	0	0	990	0	990	2.0	1	165	0	1	331	1	330
LMX1B_HUMAN		0	616	0	0	1196	1	1195	Infinity	1	102	0	0	206	0	206	1.9	1	6676	0	1	12721	1	12716	0.0	0	372	0	1	743	1	742	3.69	2	536	0	1	989	1	989	0.0	0	166	0	1	331	1	330
LYL1_HUMAN	4.74	71	545	10.34	29	1167	32	1164	1.21	3	100	0	5	201	5	201	3.16	558	6119	59.82	357	12365	295	12422	1.05	22	350	0	35	709	42	701	2.63	267	271	14.7	270	720	200	790	1.16	37	129	0	66	266	64	267
MAFB_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
MAFF_HUMAN	1.5	10	606	0	10	1186	13	1183	0.0	0	103	0	2	204	2	204	1.0	97	6580	0	185	12537	188	12529	1.16	23	349	0	35	709	40	703		80	458	0	146	844	150	840	1.16	34	132	0	60	272	60	271
MAFG_HUMAN	1.94	2	614	0	2	1194	1	1195		0	103	0	1	205	0	206	1.47	20	6657	0	26	12696	18	12699	0.75	3	369	0	8	736	8	735	1.76	17	521	0	18	972	16	974	1.21	9	157	0	13	319	15	316
MAFK_HUMAN	2.06	39	577	0	38	1158	36	1160	5.02	21	82	1.6	10	196	8	198	1.42	321	6356	2.74	438	12284	428	12289	1.71	65	307	0	70	674	82	661	1.69	242	296	3.07	321	669	323	667	2.26	89	77	1.96	111	221	112	219
MAF_HUMAN	4.69	86	530	12.57	40	1156	31	1165	2.73	4	99	0	0	206	3	203	3.95	580	6097	81.37	299	12423	257	12460	1.65	13	359	0	16	728	15	728	4.46	292	246	35.86	208	782	188	802	1.23	24	142	0	32	300	40	291
MAX_HUMAN	3.65	319	297	31.68	272	924	252	944	5.93	74	29	8.86	62	144	56	150	1.94	1760	4917	67.03	1985	10737	1853	10864	2.7	214	158	11.16	235	509	248	495	2.98	510	28	4.8	851	139	817	173	3.14	154	12	1.11	262	70	266	65
MAZ_HUMAN		1	615	0	0	1196	2	1194		0	103	0	0	206	0	206		8	6669	0	19	12703	10	12707	1.5	3	369	0	4	740	1	742		6	532	0	16	974	11	979	0.8	2	164	0	6	326	5	326
MEF2A_HUMAN	3.18	71	545	6.07	47	1149	46	1150	1.52	3	100	0	2	204	4	202	3.33	794	5883	90.94	495	12227	377	12340	0.92	24	348	0	53	691	52	691	3.47	344	194	26.41	335	655	268	722	0.96	35	131	0	72	260	76	255
MEF2B_HUMAN	6.14	74	542	13.67	26	1170	21	1175	2.02	2	101	0	2	204	2	204	4.86	676	6001	115.6	288	12434	227	12490		8	364	0	15	729	24	719	4.45	280	258	34.96	194	796	161	829	0.9	10	156	0	22	310	34	297
MEF2C_HUMAN	4.07	38	578	3.74	14	1182	19	1177		1	102	0	0	206	3	203	4.5	467	6210	74.6	209	12513	136	12581	0.42	3	369	0	18	726	14	729	4.11	215	323	26.32	138	852	98	892	0.55	8	158	0	32	300	28	303
MEF2D_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	3.81	8	6669	0	4	12718	4	12713	Infinity	2	370	0	0	744	0	743	4.34	7	531	0	3	987	3	987	2.0	1	165	0	1	331	1	330
MEIS1_HUMAN	5.87	6	610	0	2	1194	1	1195		0	103	0	0	206	1	205	2.59	81	6596	4.93	60	12662	47	12670	1.72	6	366	0	3	741	7	736	1.64	33	505	0	38	952	33	957	2.05	9	157	0	6	326	9	322
MEIS2_HUMAN		0	616	0	0	1196	0	1196	Infinity	1	102	0	0	206	0	206	1.43	6	6671	0	8	12714	3	12714	3.01	3	369	0	1	743	2	741	1.58	6	532	0	7	983	3	987	2.71	4	162	0	3	329	2	329
MEOX2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	1	330
MITF_HUMAN	1.59	29	587	0	23	1173	36	1160	1.53	6	97	0	4	202	8	198	1.19	217	6460	0	348	12374	301	12416	1.57	37	335	0	49	695	47	696	1.12	149	389	0	253	737	215	775	1.51	49	117	0	60	272	72	259
MIXL1_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	3	12714		0	372	0	0	744	0	743		0	538	0	0	990	2	988		0	166	0	0	332	0	331
MNX1_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
MSX1_HUMAN	1.94	1	615	0	0	1196	1	1195	2.01	1	102	0	1	205	0	206	1.06	5	6672	0	6	12716	9	12708	3.02	3	369	0	2	742	1	742	2.31	5	533	0	4	986	4	986	2.01	2	164	0	2	330	2	329
MXI1_HUMAN	3.47	75	541	7.37	46	1150	38	1158	5.12	28	75	3.08	14	192	11	195	1.07	238	6439	0	425	12297	393	12324	1.92	52	320	0.29	58	686	55	688	1.45	215	323	0.4	305	685	312	678	1.36	64	102	0	105	227	86	245
MYBA_HUMAN		1	615	0	2	1194	0	1196		0	103	0	0	206	0	206	1.27	4	6673	0	6	12716	5	12712	2.0	2	370	0	0	744	2	741	1.48	4	534	0	5	985	3	987		1	165	0	1	331	2	329
MYBB_HUMAN	1.94	1	615	0	1	1195	0	1196	Infinity	1	102	0	0	206	0	206	0.6	6	6671	0	19	12703	23	12694	0.0	0	372	0	2	742	5	738		8	530	0	10	980	18	972	0.0	0	166	0	3	329	7	324
MYB_HUMAN	4.3	104	512	14.15	54	1142	45	1151	2.08	8	95	0	8	198	6	200	3.03	758	5919	76.34	516	12206	439	12278		22	350	0	34	710	53	690	3.64	365	173	28.35	363	627	324	666		42	124	0	73	259	92	239
MYCN_HUMAN	4.06	104	512	13.4	51	1145	57	1139	4.5	31	72	2.82	17	189	18	188	1.14	368	6309	0	596	12126	617	12100	1.53	64	308	0	89	655	88	655	1.53	281	257	1.5	410	580	413	577	1.4	84	82	0	136	196	140	191
MYC_HUMAN	3.92	300	316	33.83	233	963	192	1004	7.73	75	28	12.06	53	153	40	166	2.15	1699	4978	85.46	1742	10980	1589	11128	2.78	194	178	11.6	202	542	209	534	3.17	498	40	8.56	789	201	743	247	3.37	149	17	2.86	230	102	239	92
MYF6_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	3.81	2	6675	0	1	12721	1	12716		0	372	0	0	744	2	741	3.69	2	536	0	1	989	1	989		0	166	0	0	332	3	328
MYNN_HUMAN		0	616	0	0	1196	0	1196		0	103	0	1	205	0	206		3	6674	0	8	12714	5	12712	0.0	0	372	0	2	742	1	742	0.0	0	538	0	3	987	6	984	0.0	0	166	0	2	330	2	329
MYOD1_HUMAN	2.22	125	491	5.45	123	1073	106	1090	2.34	31	72	0	28	178	32	174	1.48	789	5888	11.73	1055	11667	1004	11713	1.97	129	243	3.1	158	586	134	609	1.62	393	145	1.88	620	370	583	407	1.79	118	48	0	192	140	187	144
MZF1_HUMAN		2	614	0	0	1196	4	1192		0	103	0	0	206	0	206		5	6672	0	9	12713	16	12701		1	371	0	1	743	3	740	1.17	7	531	0	10	980	11	979	1.0	2	164	0	4	328	3	328
NANOG_HUMAN	1.21	18	598	0	21	1175	29	1167	1.84	8	95	0	9	197	4	202	1.25	230	6447	0	353	12369	331	12386	1.49	45	327	0	63	681	62	681	1.09	152	386	0	263	727	233	757	1.08	49	117	0	93	239	77	254
NDF1_HUMAN		11	605	0	15	1181	25	1171	1.0	1	102	0	4	202	2	204	1.3	120	6557	0	177	12545	170	12547		17	355	0	38	706	28	715	1.12	90	448	0	151	839	134	856		26	140	0	55	277	45	286
NDF2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	3	12714		0	372	0	0	744	0	743		0	538	0	0	990	2	988		0	166	0	1	331	0	331
NF2L2_HUMAN		2	614	0	5	1191	0	1196	4.06	2	101	0	1	205	1	205	1.39	19	6658	0	26	12696	23	12694	3.66	9	363	0	5	739	3	740	1.29	16	522	0	23	967	18	972	2.27	12	154	0	9	323	11	320
NFAC1_HUMAN	3.13	8	608	0	5	1191	3	1193		0	103	0	0	206	0	206	3.12	94	6583	8.64	58	12664	37	12680	0.4	1	371	0	5	739	5	738	2.43	57	481	2.22	46	944	21	969	1.14	4	162	0	7	325	7	324
NFAC3_HUMAN		0	616	0	0	1196	1	1195	Infinity	1	102	0	0	206	0	206	1.91	2	6675	0	2	12720	1	12716	Infinity	1	371	0	0	744	0	743	0.92	1	537	0	2	988	2	988	Infinity	1	165	0	0	332	0	331
NFAC4_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	1.91	2	6675	0	2	12720	1	12716		0	372	0	0	744	0	743	1.84	2	536	0	2	988	2	988		0	166	0	0	332	0	331
NFAT5_HUMAN	6.93	14	602	1.2	2	1194	4	1192	4.12	4	99	0	2	204	1	205		36	6641	0	79	12643	67	12650	4.39	21	351	1.34	8	736	10	733	1.23	41	497	0	62	928	57	933	2.89	20	146	0	15	317	12	319
NFE2_HUMAN	2.77	64	552	3.99	48	1148	41	1155	1.29	7	96	0	7	199	11	195	1.77	396	6281	12.13	438	12284	419	12298	1.92	47	325	0.04	50	694	52	691	2.08	270	268	8.03	323	667	293	697	1.42	57	109	0	86	246	89	242
NFIB_HUMAN	Infinity	1	615	0	0	1196	0	1196		0	103	0	0	206	0	206	2.86	3	6674	0	2	12720	2	12715		0	372	0	0	744	2	741	3.69	2	536	0	1	989	1	989	1.0	1	165	0	2	330	1	330
NFIC_HUMAN	1.83	57	559	0.16	57	1139	63	1133	3.12	28	75	0.76	22	184	20	186	1.58	582	6095	11.64	726	11996	698	12019	2.74	120	252	7.81	110	634	106	637	1.71	327	211	3.53	461	529	471	519	3.21	121	45	5.55	150	182	151	180
NFIL3_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
NFKB1_HUMAN	2.31	51	565	1.48	45	1151	35	1161	1.36	8	95	0	10	196	12	194	1.68	425	6252	10.88	494	12228	428	12289	1.16	43	329	0	67	677	75	668	1.6	249	289	2.18	346	644	304	686	1.09	59	107	0	101	231	111	220
NFKB2_HUMAN	3.2	97	519	8.79	66	1130	46	1150	1.43	7	96	0	10	196	10	196	2.41	640	6037	44.05	537	12185	446	12271	1.35	42	330	0	64	680	59	684	2.47	317	221	13.37	364	626	308	682	1.31	62	104	0	104	228	100	231
NFYA_HUMAN	3.54	35	581	2.56	20	1176	12	1184	3.68	7	96	0	3	203	4	202		114	6563	0	243	12479	216	12501	0.83	10	362	0	24	720	24	719	1.09	105	433	0	177	813	180	810	0.8	19	147	0	50	282	46	285
NFYB_HUMAN	2.74	38	578	1.47	28	1168	18	1178	4.25	8	95	0	4	202	4	202	0.87	116	6561	0	274	12448	252	12465		14	358	0	23	721	30	713	0.98	110	428	0	205	785	207	783		27	139	0	53	279	61	270
NFYC_HUMAN	4.37	24	592	1.89	11	1185	9	1187	3.06	3	100	0	2	204	2	204	0.77	46	6631	0	115	12607	114	12603	1.14	8	364	0	8	736	14	729	1.14	60	478	0	94	896	98	892		12	154	0	22	310	27	304
NKX21_HUMAN	1.56	40	576	0	51	1145	40	1156	4.4	25	78	1.88	14	192	12	194	1.38	346	6331	2.5	483	12239	481	12236	3.61	105	267	11.09	71	673	73	670	1.44	238	300	0.53	351	639	350	640	3.05	102	64	5.35	114	218	107	224
NKX22_HUMAN	1.3	4	612	0	6	1190	3	1193	4.12	4	99	0	2	204	1	205		23	6654	0	37	12685	44	12673	2.02	6	366	0	6	738	5	738	1.26	25	513	0	24	966	37	953	1.35	8	158	0	12	320	9	322
NKX23_HUMAN	1.94	1	615	0	0	1196	1	1195		0	103	0	0	206	0	206	0.95	1	6676	0	2	12720	3	12714		0	372	0	2	742	0	743		0	538	0	0	990	2	988	2.01	2	164	0	2	330	0	331
NKX25_HUMAN		0	616	0	0	1196	1	1195	Infinity	1	102	0	0	206	0	206	1.19	5	6672	0	8	12714	5	12712	2.01	2	370	0	2	742	1	742		3	535	0	6	984	5	985	4.07	4	162	0	2	330	1	330
NKX31_HUMAN	1.28	19	597	0	29	1167	22	1174	2.12	11	92	0	11	195	9	197	1.2	216	6461	0	317	12405	345	12372	1.38	42	330	0	63	681	57	686	1.23	155	383	0	239	751	245	745	1.6	63	103	0	92	240	77	254
NKX61_HUMAN	Infinity	1	615	0	0	1196	0	1196		0	103	0	0	206	0	206	1.43	3	6674	0	4	12718	4	12713		0	372	0	1	743	0	743	1.38	3	535	0	4	986	3	987	0.0	0	166	0	1	331	2	329
NR1H2_HUMAN	1.3	2	614	0	2	1194	3	1193	4.12	4	99	0	1	205	2	204	1.09	20	6657	0	32	12690	35	12682	4.09	12	360	0	5	739	6	737	1.43	23	515	0	30	960	30	960	3.04	17	149	0	12	320	11	320
NR1H3_HUMAN	0.97	6	610	0	12	1184	13	1183	2.93	7	96	0	2	204	5	201	1.56	84	6593	0	93	12629	103	12614	3.09	44	328	2.9	31	713	23	720	1.58	78	460	0	79	911	96	894	2.96	47	119	2.5	37	295	39	292
NR1I2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	0.64	1	6676	0	3	12719	3	12714		0	372	0	0	744	0	743	0.92	1	537	0	3	987	2	988	4.04	2	164	0	1	331	0	331
NR2C2_HUMAN	2.54	23	593	0	18	1178	15	1181	2.93	7	96	0	5	201	2	204		78	6599	0	157	12565	146	12571	1.21	18	354	0	30	714	12	731	1.03	75	463	0	134	856	116	874	1.36	26	140	0	40	292	34	297
NR2E3_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
NR2F6_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
NR4A1_HUMAN	2.44	56	560	2.28	47	1149	40	1156	1.76	6	97	0	7	199	7	199	1.93	497	6180	20.38	509	12213	433	12284		27	345	0	50	694	62	681	1.91	284	254	5.92	366	624	293	697	1.3	52	114	0	86	246	83	248
NR4A2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
NR5A2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	0.95	1	6676	0	2	12720	2	12715		0	372	0	0	744	0	743	0.92	1	537	0	2	988	3	987		0	166	0	0	332	0	331
NRF1_HUMAN	7.44	176	440	39.05	61	1135	61	1135	10.95	62	41	14.87	25	181	19	187	1.28	420	6257	1.15	636	12086	613	12104	2.91	113	259	8.29	85	659	97	646	1.72	309	229	3.76	426	564	435	555	3.65	120	46	7.36	133	199	138	193
OTX1_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
OTX2_HUMAN		2	614	0	4	1192	2	1194	2.01	1	102	0	0	206	1	205	1.39	40	6637	0	55	12667	54	12663	2.91	10	362	0	7	737	6	737	1.27	28	510	0	41	949	39	951	1.7	10	156	0	12	320	12	319
OVOL2_HUMAN	3.89	2	614	0	0	1196	1	1195		0	103	0	1	205	0	206	1.04	6	6671	0	11	12711	9	12708	0.0	0	372	0	3	741	1	742	0.52	2	536	0	7	983	8	982	0.66	1	165	0	4	328	3	328
P53_HUMAN	2.22	115	501	4.89	112	1084	95	1101	2.83	44	59	1.48	43	163	28	178	1.39	644	6033	6.28	902	11820	907	11810	4.13	190	182	22.0	144	600	150	593	1.85	381	157	4.63	562	428	558	432	4.5	145	21	7.15	201	131	181	150
P63_HUMAN	1.48	96	520	0	131	1065	133	1063	2.44	51	52	0.82	59	147	36	170	1.04	636	6041	0	1166	11556	1150	11567	5.82	248	124	36.66	188	556	190	553	1.3	398	140	0	680	310	680	310	7.8	158	8	7.67	238	94	226	105
P73_HUMAN		19	597	0	38	1158	28	1168	1.23	15	88	0	25	181	11	195	1.08	286	6391	0	506	12216	479	12238	4.05	131	241	16.1	85	659	88	655	1.05	211	327	0	377	613	350	640	3.18	112	54	5.74	131	201	125	206
PATZ1_HUMAN	1.3	4	612	0	6	1190	1	1195	4.06	2	101	0	0	206	1	205	1.1	19	6658	0	33	12689	33	12684	2.28	9	363	0	6	738	8	735	1.44	24	514	0	31	959	28	962	2.08	13	153	0	9	323	13	318
PAX2_HUMAN	5.85	3	613	0	1	1195	0	1196		0	103	0	0	206	0	206		5	6672	0	15	12707	5	12712	1.0	1	371	0	3	741	2	741	0.74	2	536	0	10	980	5	985	0.4	1	165	0	7	325	5	326
PAX5_HUMAN	5.59	293	323	49.26	167	1029	119	1077	3.29	28	75	1.08	14	192	21	185	2.62	1486	5191	113.67	1254	11468	1039	11678		54	318	0	106	638	116	627	5.59	499	39	25.18	689	301	602	388	0.94	76	90	0	157	175	162	169
PAX6_HUMAN		0	616	0	0	1196	0	1196		0	103	0	1	205	0	206	0.0	0	6677	0	1	12721	2	12715		0	372	0	0	744	0	743	0.0	0	538	0	1	989	1	989		0	166	0	1	331	0	331
PAX8_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	1.91	1	6676	0	1	12721	0	12717		0	372	0	0	744	0	743	1.84	1	537	0	1	989	0	990		0	166	0	0	332	2	329
PBX1_HUMAN	3.9	4	612	0	2	1194	1	1195	Infinity	4	99	0	0	206	0	206		15	6662	0	31	12691	24	12693	2.01	5	367	0	3	741	5	738	1.23	16	522	0	24	966	20	970	3.11	9	157	0	2	330	6	325
PBX2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	1	205	0.0	0	6677	0	2	12720	1	12716		0	372	0	0	744	0	743		0	538	0	0	990	2	988	Infinity	1	165	0	0	332	0	331
PBX3_HUMAN	6.66	141	475	28.77	51	1145	41	1155	3.26	16	87	0	9	197	11	195	2.18	682	5995	38.04	632	12090	554	12163	1.75	58	314	0	63	681	71	672	2.76	364	174	16.95	427	563	390	600	1.8	73	93	0	101	231	96	235
PDX1_HUMAN	1.13	7	609	0	11	1185	12	1184	2.05	5	98	0	5	201	3	203	1.35	120	6557	0	170	12552	157	12560	1.83	35	337	0	34	710	40	703	1.25	84	454	0	128	862	126	864	1.37	38	128	0	59	273	54	277
PITX1_HUMAN		0	616	0	1	1195	0	1196		0	103	0	0	206	0	206		0	6677	0	1	12721	0	12717		0	372	0	0	744	0	743		0	538	0	1	989	0	990		0	166	0	0	332	0	331
PLAG1_HUMAN	1.94	1	615	0	1	1195	0	1196		0	103	0	0	206	1	205		3	6674	0	7	12715	4	12713	0.0	0	372	0	2	742	2	741	1.1	3	535	0	5	985	4	986	0.0	0	166	0	2	330	3	328
PO2F1_HUMAN	4.57	7	609	0	2	1194	3	1193		0	103	0	0	206	0	206	1.16	17	6660	0	28	12694	24	12693	0.8	2	370	0	8	736	5	738	1.16	17	521	0	27	963	16	974	1.52	6	160	0	8	324	7	324
PO2F2_HUMAN	5.64	94	522	16.62	37	1159	27	1169	1.0	1	102	0	5	201	2	204	3.49	698	5979	84.84	412	12310	323	12394	0.67	14	358	0	44	700	41	702	4.23	337	201	35.38	281	709	218	772	0.88	27	139	0	60	272	71	260
PO5F1_HUMAN	1.65	43	573	0	51	1145	52	1144	3.42	18	85	0.15	12	194	8	198	1.34	406	6271	2.32	549	12173	586	12131	1.32	62	310	0	95	649	98	645	1.53	274	264	1.52	400	590	383	607	1.31	76	90	0	130	202	126	205
PPARA_HUMAN	Infinity	2	614	0	0	1196	0	1196		0	103	0	0	206	0	206	1.91	2	6675	0	2	12720	0	12717	2.0	1	371	0	1	743	1	742	3.69	2	536	0	1	989	1	989	0.0	0	166	0	2	330	1	330
PPARG_HUMAN	1.74	73	543	0.37	86	1110	79	1117	2.29	23	80	0	23	183	18	188	1.4	586	6091	5.95	817	11905	719	11998	2.47	115	257	5.97	114	630	114	629	1.43	328	210	0.42	516	474	494	496	4.12	132	34	8.24	161	171	150	181
PRD14_HUMAN	2.99	24	592	0.42	15	1181	16	1180	4.84	9	94	0	4	202	4	202	1.37	139	6538	0	194	12528	184	12533	1.36	28	344	0	42	702	29	714	1.33	105	433	0	153	837	118	872	1.5	40	126	0	58	274	49	282
