TF	P_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	P_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	E_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k
PRDM1_HUMAN	2.74	18	598	0	8	1188	13	1183	3.85	9	94	0	5	201	4	202	1.57	119	6558	0.92	136	12586	145	12572	2.42	30	342	0.14	21	723	26	717	1.57	86	452	0	104	886	107	883	1.82	37	129	0	37	295	45	286
PRGR_HUMAN	1.56	112	504	0.27	149	1047	144	1052	2.06	39	64	0	47	159	44	162	1.31	905	5772	5.91	1356	11366	1280	11437	1.94	152	220	3.42	182	562	195	548	1.7	446	92	1.56	733	257	711	279	3.34	148	18	2.96	236	96	230	101
PROX1_HUMAN		5	611	0	9	1187	11	1185	3.99	11	92	0	3	203	6	200	1.91	133	6544	4.05	119	12603	134	12583	4.19	59	313	7.19	32	712	25	718	1.8	93	445	1.22	89	901	103	887	4.32	66	100	7.43	44	288	39	292
RARA_HUMAN	6.39	87	529	16.86	30	1166	22	1174	5.81	13	90	0.65	5	201	1	205	2.53	349	6328	26.23	271	12451	226	12491	1.59	21	351	0	21	723	27	716	2.85	207	331	14.77	178	812	158	832	1.24	34	132	0	50	282	57	274
RARG_HUMAN	3.93	10	606	0	5	1191	1	1195	10.46	5	98	0	0	206	1	205		26	6651	0	54	12668	45	12672	2.24	11	361	0	10	734	5	738		22	516	0	42	948	39	951	1.5	11	155	0	15	317	11	320
RAX2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	Infinity	1	6676	0	0	12722	0	12717		0	372	0	0	744	0	743	Infinity	1	537	0	0	990	0	990		0	166	0	0	332	0	331
RELB_HUMAN	5.53	43	573	6.39	12	1184	16	1180	1.52	3	100	0	0	206	4	202	2.29	215	6462	12.75	182	12540	143	12574	1.32	15	357	0	22	722	23	720	2.51	151	387	8.65	133	857	103	887	1.29	25	141	0	40	292	36	295
REST_HUMAN	4.59	186	430	27.56	103	1093	96	1100	4.37	43	60	4.25	22	184	29	177	1.65	774	5903	18.74	939	11783	903	11814	1.69	106	266	0.79	142	602	133	610	2.5	417	121	11.4	574	416	554	436	1.8	113	53	0	180	152	177	154
RFX1_HUMAN	4.21	45	571	5.12	22	1174	14	1182	9.98	17	86	2.74	3	203	4	202	1.01	108	6569	0	201	12521	204	12513	1.14	17	355	0	28	716	30	713	1.16	108	430	0	151	839	176	814	1.12	28	138	0	51	281	48	283
RFX2_HUMAN	2.78	21	595	0	15	1181	15	1181	7.28	10	93	0.31	3	203	1	205	1.28	92	6585	0	137	12585	127	12590	1.97	23	349	0	23	721	24	719	1.5	92	446	0	106	884	120	870	1.9	35	131	0	41	291	28	303
RFX5_HUMAN	2.87	41	575	2.02	29	1167	18	1178	2.07	7	96	0	6	200	7	199	1.48	173	6504	1.27	224	12498	216	12501	1.28	24	348	0	38	706	36	707	1.32	126	412	0	184	806	186	804	1.16	35	131	0	62	270	60	271
RORA_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	3.05	8	6669	0	5	12717	5	12712	2.0	1	371	0	1	743	0	743	3.72	8	530	0	4	986	3	987	1.0	1	165	0	2	330	1	330
RUNX1_HUMAN	3.66	245	371	26.63	183	1013	139	1057	3.0	33	70	1.07	28	178	20	186	2.85	1746	4931	150.54	1407	11315	1220	11497	1.73	117	255	1.22	155	589	156	587	4.43	497	41	17.75	725	265	659	331	2.03	126	40	0.47	202	130	191	140
RUNX2_HUMAN	1.41	30	586	0	42	1154	37	1159	1.2	10	93	0	17	189	7	199	1.59	331	6346	6.35	398	12324	403	12314	1.1	45	327	0	83	661	77	666	1.61	215	323	1.93	285	705	290	700	1.26	61	105	0	105	227	101	230
RUNX3_HUMAN	8.82	22	594	3.77	5	1191	4	1192	2.01	1	102	0	1	205	1	205	3.42	152	6525	17.25	86	12636	65	12652	0.5	1	371	0	4	740	12	731	2.58	78	460	4.31	61	929	55	935	0.75	3	163	0	8	324	16	315
RXRA_HUMAN	3.26	162	454	15.65	118	1078	111	1085	4.41	48	55	4.73	34	172	25	181	1.66	829	5848	20.68	1001	11721	989	11728	2.36	123	249	5.62	129	615	126	617	2.53	430	108	11.16	605	385	586	404	2.44	122	44	2.36	173	159	176	155
SALL4_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	1	205	1.09	8	6669	0	14	12708	11	12706	4.02	2	370	0	1	743	0	743	1.02	5	533	0	9	981	7	983	1.51	3	163	0	4	328	2	329
SIX1_HUMAN	1.17	3	613	0	5	1191	1	1195	1.0	1	102	0	1	205	2	204	1.33	59	6618	0	85	12637	77	12640	1.65	13	359	0	16	728	9	734	1.17	44	494	0	60	930	70	920	1.74	19	147	0	23	309	19	312
SIX2_HUMAN	1.51	50	566	0	66	1130	62	1134	1.52	11	92	0	13	193	15	191	1.35	506	6171	3.51	729	11993	673	12044	1.4	79	293	0	120	624	116	627	1.4	302	236	0.15	473	517	462	528	1.53	96	70	0	157	175	145	186
SMAD1_HUMAN	1.73	45	571	0	52	1144	30	1166	0.82	5	98	0	13	193	12	194	2.31	521	6156	33.19	449	12273	369	12348	1.49	39	333	0	43	701	54	689	2.36	282	256	11.74	315	675	263	727	1.4	55	111	0	87	245	84	247
SMAD2_HUMAN	2.86	23	593	0.2	16	1180	16	1180	3.34	15	88	0	10	196	3	203	1.15	145	6532	0	236	12486	240	12477	1.81	33	339	0	38	706	32	711	1.13	113	425	0	180	810	188	802	1.39	39	127	0	60	272	53	278
SMAD3_HUMAN	2.36	52	564	1.66	45	1151	37	1159	4.53	35	68	3.32	21	185	13	193	1.34	420	6257	2.45	607	12115	578	12139	3.43	147	225	14.1	119	625	93	650	1.49	275	263	1.03	409	581	389	601	3.73	121	45	7.64	139	193	138	193
SMAD4_HUMAN	4.87	29	587	3.12	8	1188	12	1184	1.37	10	93	0	15	191	4	202	1.3	181	6496	0	267	12455	257	12460	3.07	65	307	5.01	48	696	43	700	1.22	128	410	0	202	788	195	795	2.39	62	104	1.73	66	266	66	265
SNAI1_HUMAN		0	616	0	0	1196	0	1196	Infinity	1	102	0	0	206	0	206	0.64	1	6676	0	3	12719	4	12713	6.03	3	369	0	0	744	1	742	0.92	1	537	0	3	987	2	988	8.15	4	162	0	0	332	1	330
SNAI2_HUMAN	1.92	129	487	3.37	122	1074	145	1051	4.94	59	44	6.54	44	162	43	163	1.2	665	6012	0.75	1071	11651	1073	11644	3.15	185	187	14.37	178	566	156	587	1.48	401	137	0.46	657	333	645	345	5.33	151	15	7.25	217	115	213	118
SOX10_HUMAN	2.23	8	608	0	3	1193	7	1189	0.0	0	103	0	3	203	2	204	1.49	99	6578	0	127	12595	121	12596	1.08	14	358	0	26	718	19	724	1.19	63	475	0	98	892	99	891	0.96	12	154	0	25	307	33	298
SOX11_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
SOX2_HUMAN	1.56	46	570	0	59	1137	59	1137	3.59	32	71	1.93	23	183	18	188	1.28	447	6230	1.48	674	12048	655	12062	1.99	111	261	2.74	131	613	116	627	1.34	294	244	0	468	522	456	534	1.64	110	56	0	181	151	155	176
SOX3_HUMAN		0	616	0	0	1196	1	1195		0	103	0	0	206	0	206		1	6676	0	2	12720	1	12716		0	372	0	0	744	0	743		1	537	0	2	988	1	989		0	166	0	0	332	1	330
SOX4_HUMAN		0	616	0	0	1196	1	1195	Infinity	1	102	0	0	206	0	206	1.06	5	6672	0	9	12713	3	12714	0.0	0	372	0	2	742	1	742	1.23	4	534	0	6	984	4	986	1.0	1	165	0	2	330	3	328
SOX9_HUMAN	0.97	3	613	0	6	1190	9	1187	3.99	11	92	0	3	203	6	200	1.33	86	6591	0	124	12598	96	12621	3.42	41	331	3.21	19	725	26	717	1.61	80	458	0	97	893	87	903	2.73	49	117	2.0	41	291	44	287
SP1_HUMAN	4.73	328	288	44.66	227	969	232	964	9.62	81	22	14.27	57	149	53	153	1.98	1555	5122	64.49	1691	11031	1602	11115	3.48	219	153	18.24	217	527	207	536	3.49	493	45	11.96	751	239	749	241	3.89	150	16	3.82	234	98	234	97
SP2_HUMAN	7.3	49	567	9.69	14	1182	14	1182	4.81	11	92	0	2	204	5	201	0.87	96	6581	0	225	12497	209	12508		12	360	0	22	722	32	711	1.18	111	427	0	179	811	178	812		23	143	0	43	289	51	280
SP3_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		4	6673	0	4	12718	8	12709	0.0	0	372	0	1	743	2	741		3	535	0	3	987	6	984	0.0	0	166	0	3	329	2	329
SP4_HUMAN	3.92	44	572	4.42	18	1178	23	1173	3.19	9	94	0	4	202	6	200	0.91	99	6578	0	219	12503	206	12511	1.04	14	358	0	26	718	27	716	1.17	112	426	0	182	808	174	816	1.0	24	142	0	48	284	41	290
SPI1_HUMAN	3.37	407	209	29.58	438	758	367	829	1.71	52	51	0	77	129	68	138	2.57	2814	3863	180.06	2809	9913	2529	10188	1.21	175	197	0	314	430	314	429	14.56	536	2	4.85	939	51	922	68	1.66	155	11	0	297	35	292	39
SPIB_HUMAN	6.38	175	441	34.79	70	1126	70	1126	1.1	6	97	0	10	196	11	195	3.47	1250	5427	147.67	792	11930	605	12112		36	336	0	62	682	82	661	4.4	436	102	32.22	488	502	387	603		57	109	0	101	231	116	215
SRBP1_HUMAN		3	613	0	10	1186	3	1193	Infinity	3	100	0	0	206	0	206	0.71	16	6661	0	46	12676	43	12674	3.37	5	367	0	3	741	2	741		18	520	0	31	959	36	954	1.51	6	160	0	8	324	8	323
SRBP2_HUMAN		0	616	0	1	1195	0	1196	Infinity	1	102	0	0	206	0	206		1	6676	0	0	12722	2	12715		0	372	0	0	744	2	741	1.84	2	536	0	1	989	2	988	0.66	1	165	0	3	329	4	327
SRF_HUMAN	4.01	54	562	6.01	28	1168	25	1171	2.37	9	94	0	7	199	8	198	2.08	372	6305	18.34	351	12371	318	12399	1.71	51	321	0	58	686	63	680	2.17	240	298	8.58	268	722	241	749	1.51	57	109	0	85	247	85	246
STA5A_HUMAN	2.82	56	560	3.3	41	1155	21	1175		2	101	0	5	201	0	206	3.15	489	6188	52.24	311	12411	267	12450	0.94	16	356	0	34	710	43	700	2.91	251	287	17.38	229	761	201	789	0.85	24	142	0	55	277	61	270
STAT1_HUMAN	3.15	101	515	9.1	68	1128	70	1126	4.03	22	81	1.14	13	193	13	193	1.95	664	6013	28.15	681	12041	588	12129	2.25	88	284	3.25	90	654	85	658	2.23	362	176	9.92	475	515	400	590	2.26	99	67	2.01	120	212	131	200
STAT2_HUMAN	3.27	23	593	0.64	14	1182	12	1184	5.2	5	98	0	1	205	2	204	2.52	163	6514	11.3	121	12601	125	12592	1.46	13	359	0	13	731	18	725	2.01	101	437	2.66	102	888	90	900	1.46	19	147	0	27	305	26	305
STAT3_HUMAN	3.74	106	510	12.32	63	1133	48	1148	3.35	25	78	0.84	18	188	10	196	2.53	730	5947	55.06	589	12133	537	12180	3.13	107	265	9.06	83	661	85	658	2.75	363	175	16.74	426	564	377	613	3.07	114	52	5.24	111	221	138	193
STAT4_HUMAN	1.46	3	613	0	4	1192	1	1195	1.0	1	102	0	1	205	2	204	3.57	41	6636	3.52	15	12707	22	12695	2.68	4	368	0	1	743	3	740	3.45	34	504	2.28	11	979	19	971	3.61	7	159	0	4	328	3	328
STAT6_HUMAN	5.9	9	607	0	1	1195	3	1193	1.0	1	102	0	2	204	1	205	1.55	39	6638	0	48	12674	45	12672	1.79	8	364	0	9	735	9	734	2.06	45	493	0.36	42	948	40	950	2.25	16	150	0	14	318	15	316
STF1_HUMAN	1.94	1	615	0	1	1195	0	1196		0	103	0	0	206	0	206	2.54	4	6673	0	3	12719	3	12714		0	372	0	0	744	1	742	1.85	4	534	0	2	988	4	986		0	166	0	0	332	2	329
SUH_HUMAN	3.75	140	476	16.45	87	1109	64	1132	1.7	9	94	0	11	195	10	196	2.99	970	5707	95.02	684	12038	556	12161	1.17	37	335	0	56	688	64	679	3.99	412	126	30.24	446	544	353	637	1.33	55	111	0	90	242	89	242
TAF1_HUMAN	9.61	281	335	71.48	96	1100	90	1106	16.06	71	32	20.6	25	181	21	185	2.01	851	5826	38.76	862	11860	834	11883	2.09	96	276	2.73	93	651	106	637	3.93	438	100	26.72	522	468	518	472	2.65	111	55	3.6	138	194	143	188
TAL1_HUMAN	3.09	191	425	16.84	152	1044	137	1059	1.85	24	79	0	29	177	28	178	2.21	1327	5350	73.52	1284	11438	1167	11550	1.26	99	273	0	147	597	166	577	4.65	492	46	21.3	690	300	669	321	1.64	118	48	0	199	133	198	133
TBP_HUMAN	5.59	51	565	8.15	11	1185	19	1177	6.66	12	91	0.67	2	204	4	202	2.28	235	6442	13.92	200	12522	200	12517	1.71	29	343	0	33	711	35	708	2.48	168	370	9.31	152	838	153	837	1.48	32	134	0	46	286	44	287
TBX21_HUMAN	5.1	129	487	21.27	59	1137	32	1164	0.39	1	102	0	5	201	6	200	3.77	736	5941	97.85	405	12317	307	12410	0.73	10	362	0	27	717	33	710	4.75	347	191	41.1	274	716	201	789	0.93	23	143	0	53	279	49	282
TBX3_HUMAN		0	616	0	2	1194	0	1196	Infinity	1	102	0	0	206	0	206	1.91	1	6676	0	1	12721	0	12717		0	372	0	0	744	1	742	1.84	1	537	0	1	989	0	990		0	166	0	0	332	2	329
TCF7_HUMAN	1.95	3	613	0	3	1193	0	1196		0	103	0	0	206	0	206	2.28	43	6634	0.94	29	12693	36	12681	1.82	9	363	0	8	736	10	733	1.63	27	511	0	24	966	31	959	1.61	11	155	0	14	318	12	319
TEAD1_HUMAN	1.06	31	585	0	57	1139	52	1144	3.32	26	77	0.98	19	187	17	189	1.11	379	6298	0	636	12086	654	12063	2.35	115	257	5.23	119	625	105	638	1.23	271	267	0	433	557	448	542	2.47	115	51	2.63	151	181	158	173
TEAD2_HUMAN	Infinity	1	615	0	0	1196	0	1196		0	103	0	0	206	0	206	1.03	7	6670	0	13	12709	8	12709	4.05	6	366	0	3	741	2	741	1.11	6	532	0	10	980	6	984	2.02	5	161	0	5	327	5	326
TEAD4_HUMAN	1.16	49	567	0	67	1129	83	1113	3.41	35	68	1.89	27	179	25	181	1.13	494	6183	0	782	11940	840	11877	2.67	139	233	8.52	136	608	121	622	1.39	336	202	0	535	455	539	451	3.05	132	34	4.1	186	146	182	149
TF65_HUMAN	3.23	173	443	16.43	129	1067	104	1092	3.12	28	75	0.76	17	189	22	184	2.25	1141	5536	66.54	1069	11653	907	11810	1.61	98	274	0.18	123	621	135	608	3.66	456	82	21.07	597	393	550	440	1.85	115	51	0.02	173	159	182	149
TF7L1_HUMAN	3.43	7	609	0	4	1192	4	1192	2.49	6	97	0	5	201	0	206	1.29	58	6619	0	86	12636	80	12637	2.46	26	346	0.0	18	726	22	721	1.66	52	486	0	60	930	55	935	2.9	35	131	1.24	28	304	24	307
TF7L2_HUMAN	2.12	39	577	0.18	37	1159	28	1168	1.88	9	94	0	10	196	3	203	1.8	371	6306	11.94	403	12319	335	12382	2.03	58	314	0.92	61	683	62	681	1.66	216	322	2.51	285	705	237	753	2.19	79	87	1.59	95	237	97	234
TFAP4_HUMAN	3.81	91	525	10.66	52	1144	44	1152	1.36	8	95	0	9	197	12	194	2.23	554	6123	32.82	495	12227	436	12281	1.07	34	338	0	64	680	58	685	2.46	301	237	13.21	337	653	314	676	1.08	58	108	0	110	222	97	234
TFCP2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	2	12715	2.0	1	371	0	1	743	0	743		0	538	0	0	990	2	988	1.0	1	165	0	2	330	0	331
TFDP1_HUMAN	5.65	36	580	5.31	13	1183	13	1183	9.69	20	83	3.53	4	202	5	201	0.74	87	6590	0	224	12498	224	12493	1.71	29	343	0	24	720	35	708	0.96	97	441	0	185	805	184	806	1.65	41	125	0	55	277	51	280
TFE2_HUMAN	5.94	244	372	44.69	119	1077	79	1117	1.84	17	86	0	7	199	20	186	3.27	1273	5404	139.07	855	11867	728	11989	0.93	37	335	0	79	665	91	652	5.09	454	84	36.42	510	480	459	531	1.1	63	103	0	117	215	118	213
TFE3_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	1.59	5	6672	0	4	12718	6	12711		0	372	0	2	742	0	743	1.85	5	533	0	3	987	5	985	1.0	1	165	0	2	330	1	330
TFEB_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
TGIF1_HUMAN		0	616	0	0	1196	1	1195		0	103	0	0	206	0	206	3.81	2	6675	0	0	12722	1	12716		0	372	0	0	744	0	743	Infinity	1	537	0	0	990	0	990		0	166	0	0	332	0	331
THA11_HUMAN	5.85	3	613	0	0	1196	1	1195		0	103	0	0	206	0	206	0.48	1	6676	0	4	12718	9	12708		0	372	0	0	744	0	743	0.61	1	537	0	3	987	9	981		0	166	0	0	332	1	330
THAP1_HUMAN	3.37	17	599	0	7	1189	10	1186	1.0	1	102	0	1	205	2	204	0.77	40	6637	0	99	12623	106	12611	0.75	3	369	0	8	736	9	734	0.9	42	496	0	85	905	87	903	0.77	7	159	0	23	309	18	313
TLX1_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	1	12721	0	12717		0	372	0	1	743	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
TWST1_HUMAN	1.38	19	597	0	23	1173	27	1169	2.81	8	95	0	6	200	6	200	1.2	194	6483	0	309	12413	300	12417	1.86	48	324	0	55	689	38	705	1.17	134	404	0	218	772	199	791	1.53	56	110	0	83	249	75	256
TYY1_HUMAN	5.18	258	358	41.5	146	1050	136	1060	5.12	48	55	5.77	30	176	29	177	1.91	1153	5524	44.84	1254	11468	1098	11619	1.87	121	251	2.2	151	593	152	591	3.25	480	58	12.72	711	279	652	338	1.58	120	46	0	191	141	206	125
USF1_HUMAN	2.58	180	436	11.39	165	1031	141	1055	3.54	45	58	3.01	37	169	32	174	1.4	925	5752	9.82	1311	11411	1203	11514	1.98	143	229	3.52	173	571	178	565	1.72	439	99	1.95	713	277	699	291	1.73	132	34	0	225	107	229	102
USF2_HUMAN	3.16	115	501	10.59	81	1115	67	1129	2.48	28	75	0	27	179	19	187	1.66	610	6067	15.23	726	11996	620	12097	2.06	91	281	2.4	101	643	94	649	2.03	357	181	7.31	488	502	438	552	1.91	103	63	0.49	153	179	145	186
VDR_HUMAN	3.79	144	472	17.27	89	1107	51	1145	3.56	25	78	1.16	17	189	14	192	2.12	755	5922	39.42	722	12000	586	12131	2.19	86	286	2.9	90	654	81	662	2.67	376	162	15.55	460	530	397	593	1.75	87	79	0	121	211	128	203
VEZF1_HUMAN	5.86	48	568	7.98	17	1179	17	1179	3.5	17	86	0.02	5	201	11	195	0.96	118	6559	0	234	12488	235	12482	2.12	41	331	0.28	35	709	41	702	1.38	130	408	0	186	804	173	817	2.39	61	105	1.74	65	267	58	273
XBP1_HUMAN	4.37	24	592	1.89	9	1187	11	1185	2.06	6	97	0	5	201	6	200	0.94	67	6610	0	142	12580	135	12582	1.8	15	357	0	17	727	15	728	1.26	77	461	0	116	874	113	877	1.58	19	147	0	24	308	25	306
YBOX1_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
ZBT17_HUMAN	3.16	92	524	8.16	63	1133	61	1135	4.44	32	71	2.97	18	188	19	187	1.31	396	6281	1.51	586	12136	563	12154	2.56	111	261	6.14	106	638	93	650	1.56	280	258	1.81	406	584	391	599	2.35	110	56	2.36	151	181	126	205
ZBT7A_HUMAN	5.54	147	469	26.2	52	1144	64	1132	6.84	36	67	6.02	15	191	15	191	1.27	354	6323	0.54	537	12185	491	12226	1.5	48	324	0	67	677	63	680	1.93	277	261	6.28	351	639	345	645	1.58	69	97	0	103	229	94	237
ZBT7B_HUMAN	3.13	22	594	0.41	14	1182	10	1186	12.2	11	92	1.24	2	204	1	205	1.15	67	6610	0	105	12617	111	12606	2.16	22	350	0	21	723	21	722	1.18	64	474	0	92	898	102	888	2.07	35	131	0	38	294	32	299
ZBTB4_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	1	12716		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	1	330
ZEB1_HUMAN	2.89	33	583	1.28	20	1176	23	1173	7.39	16	87	1.83	3	203	5	201	1.79	187	6490	5.07	202	12520	184	12533	2.08	28	344	0	25	719	28	715	1.95	134	404	3.42	140	850	144	846	2.11	43	123	0.14	39	293	47	284
ZEP1_HUMAN	1.94	1	615	0	0	1196	1	1195		0	103	0	0	206	0	206	1.43	3	6674	0	4	12718	3	12714		0	372	0	0	744	0	743	1.38	3	535	0	4	986	2	988		0	166	0	2	330	0	331
ZFHX3_HUMAN		1	615	0	2	1194	0	1196		0	103	0	0	206	0	206		3	6674	0	7	12715	4	12713		1	371	0	1	743	4	739	2.22	6	532	0	5	985	3	987	1.33	2	164	0	2	330	3	328
ZFX_HUMAN	8.51	98	518	23.18	25	1171	26	1170	5.62	17	86	1.28	3	203	7	199	1.52	225	6452	2.79	284	12438	285	12432	1.0	16	356	0	32	712	37	706	1.89	183	355	4.32	212	778	209	781	1.12	32	134	0	52	280	58	273
ZIC2_HUMAN	1.56	4	612	0	5	1191	4	1192	5.2	5	98	0	2	204	2	204	1.14	34	6643	0	57	12665	43	12674	1.51	9	363	0	7	737	12	731	1.57	35	503	0	42	948	40	950	2.52	22	144	0	19	313	18	313
ZN143_HUMAN	3.0	58	558	4.04	40	1156	30	1166	3.44	14	89	0	8	198	9	197	1.39	273	6404	1.61	379	12343	355	12362	1.79	53	319	0	54	690	63	680	1.51	205	333	0.95	287	703	267	723	1.44	62	104	0	97	235	96	235
ZN250_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	0.0	0	6677	0	3	12719	2	12715	Infinity	1	371	0	0	744	0	743	0.0	0	538	0	2	988	1	989		0	166	0	0	332	1	330
ZN263_HUMAN	2.91	154	462	12.29	113	1083	123	1073	2.78	39	64	1.06	31	175	37	169	1.22	629	6048	1.16	997	11725	958	11759	1.35	98	274	0	156	588	149	594	1.32	369	169	0	617	373	590	400	1.4	109	57	0	186	146	191	140
ZN274_HUMAN	0.0	0	616	0	4	1192	1	1195		0	103	0	0	206	0	206	0.84	11	6666	0	25	12697	25	12692	0.5	1	371	0	10	734	4	739	0.98	8	530	0	15	975	23	967	0.4	1	165	0	6	326	5	326
ZN281_HUMAN	2.35	19	597	0	12	1184	16	1180	2.43	7	96	0	5	201	6	200	1.17	97	6580	0	158	12564	142	12575	1.98	24	348	0	25	719	17	726	1.35	87	451	0	124	866	124	866	1.85	38	128	0	46	286	30	301
ZN335_HUMAN	Infinity	1	615	0	0	1196	0	1196		0	103	0	0	206	0	206	0.48	1	6676	0	9	12713	4	12713		0	372	0	0	744	0	743		2	536	0	9	981	3	987		0	166	0	1	331	0	331
ZN639_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	0.15	1	6676	0	16	12706	13	12704		0	372	0	0	744	2	741	0.0	0	538	0	14	976	10	980		1	165	0	3	329	1	330
